Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse2";"Ja";"Ja";"Korrels die bestaan die bestaan uit klei met een zwelvermogen van minimaal 30% in zout water (NaCl 10 000 mg/l) en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is geen detecteerbare stof toegevoegd. Het materiaal is vergelijkbaar met Mikolit-300 en wordt gebruikt onder omstandigheden die standaard eisen stellen aan het waterkerend vermogen."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse2Detecteerbaar";"Ja";"Ja";"Korrels die bestaan uit klei met een zwelvermogen van minimaal 30% in zout water (NaCl 10 000 mg/l) en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is een detecteerbare stof toegevoegd.Het materiaal is vergelijkbaar met Mikolit-300 en wordt gebruikt onder omstandigheden die standaard eisen stellen aan het waterkerend vermogen."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse3";"Ja";"Ja";"Korrels die bestaan uit klei met een zwelvermogen van minimaal 30% in demi water en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is geen detecteerbare stof toegevoegd. Het materiaal is vergelijkbaar met Mikolit-00 en wordt gebruikt onder omstandigheden die lage eisen stellen aan het waterkerend vermogen."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse3Detecteerbaar";"Ja";"Ja";"Korrels die bestaan uit klei met een zwelvermogen van minimaal 30% in demi water en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is een detecteerbare stof toegevoegd.Het materiaal is vergelijkbaar met Mikolit-00 en wordt gebruikt onder omstandigheden die lage eisen stellen aan het waterkerend vermogen."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasseOnbekend";"Ja";"Ja";"Korrels die bestaan uit klei met een onbekend zwelvermogen. Aan dit materiaal is geen detecteerbare stof toegevoegd. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasseOnbekendDetecteerbaar";"Ja";"Ja";"Korrels die bestaan uit klei met een onbekend zwelvermogen, met een toevoeging van een detecteerbare stof."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"verwijderdMateriaal";"Ja";"Ja";"Het gat is opgevuld met de opgeboorde grond of de weggegraven ondergrond."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"wegverhardingsmateriaal";"Ja";"Ja";"Materiaal dat gebruikt is voor het verharden van wegen en erven; voorbeelden zijn asfalt, betonklinkers, klinkers, steenslag en tegels."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"zand";"Ja";"Ja";"Zand dat gezeefd is en uit korrels bestaat met een grootte die tussen 63 µm en 2 mm ligt. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"zandMiddelgrof";"Ja";"Ja";"Zand dat gezeefd is en uit korrels bestaat met een grootte die tussen 0,2 en 0,63 mm ligt."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"zandMiddelgrofGrof";"Ja";"Ja";"Zand dat gezeefd is en uit korrels bestaat met een grootte die tussen 0,2 en 2 mm ligt. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"zandGrof";"Ja";"Ja";"Zand dat gezeefd is en uit korrels bestaat met een grootte die tussen 0,63 en 2 mm ligt. "
"Analyseprocedure";"urn:bro:bhrgt:AnalysisProcedure";"geen";"Ja";"Ja";"De boormonsteranalyse is niet volgens een praktijkrichtlijn uitgevoerd."
"Analyseprocedure";"urn:bro:bhrgt:AnalysisProcedure";"NPR2020";"Ja";"Ja";"De boormonsteranalyse is uitgevoerd conform de <i>Nationale praktijkrichtlijn 2020.</i> "
"Apparaattype";"urn:bro:bhrgt:SamplerType";"corebarrelDoubleTube";"Ja";"Ja";"Een apparaat dat bestaat uit een buitenbuis en een binnenbuis. De buitenbuis is direct met de boorbeitel verbonden en aan de bovenzijde open. De binnenbuis is stationair en dient om het monster op te vangen; de binnenbuis is aan de bovenzijde open en aan de onderzijde voorzien van een kernvanger."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"corebarrelSingleTube";"Ja";"Ja";"Een apparaat dat bestaat uit een enkele buis die direct met de boorbeitel verbonden is. De buis dient om het monster op te vangen en is aan de bovenzijde open en aan de onderzijde voorzien van een kernvanger."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"corebarrelTripleTube";"Ja";"Ja";"Een apparaat dat bestaat uit een buitenbuis met twee binnenbuizen. De buitenbuis is direct met de boorbeitel verbonden en aan de bovenzijde open. De binnenbuizen zijn stationair en dienen om het monster op te vangen. De buitenste van de twee is aan de bovenzijde open en aan de onderzijde voorzien van een kernvanger en dient ter bescherming van de binnenste buis waarin het monster werkelijk wordt opgevangen. "
"Apparaattype";"urn:bro:bhrgt:SamplerType";"guts";"Ja";"Ja";"Een apparaat dat bestaat uit een buis om het monster op te vangen die aan bovenzijde open is en aan de onderzijde voorzien is van een steekmond en die in de langsrichting gedeeltelijk open is."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"sherbrooke";"Ja";"Ja";"Een apparaat dat bestaat uit een open constructie van buizen en ringen met een grote diameter die aan de onderzijde voorzien is van messen die bij monstername het monster afsnijden en daarna voorkomen dat het monster eruit valt."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"steekbus";"Ja";"Ja";"Een apparaat dat bestaat uit een holle buis die aan de bovenzijde open is en aan de onderzijde voorzien is van een steekmond; de buis dient om het monster op te vangen en is in de lengterichting dicht; de steekmond kan voorzien zijn van een kernvanger, maar heeft nooit messen die het monster afsnijden."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"steekbusDLDS";"Ja";"Ja";"Een apparaat dat bestaat uit een holle buis met een grote diameter die aan de bovenzijde open is en aan de onderzijde voorzien is van een steekmond; de buis dient om het monster op te vangen en is in de lengterichting dicht; de steekmond is van messen voorzien die bij monstername het monster afsnijden en daarna voorkomen dat het monster eruit valt."
"Apparaattype";"urn:bro:bhrgt:SamplerType";"steekbusMetLiner";"Ja";"Ja";"Een apparaat dat bestaat uit twee precies in elkaar passende buizen die aan de bovenzijde open in de lengterichting dicht zijn. De binnenbuis (liner) dient om het monster op te vangen. De buitenbuis is de onderzijde voorzien van een steekmond; de steekmond kan voorzien zijn van een kernvanger, maar heeft nooit messen die het monster afsnijden."
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"klasseA";"Ja";"Ja";"De bemonstering is erop gericht ongestoorde monsters te verkrijgen en irreversibele veranderingen in de spanningstoestand te voorkomen.Direct na bemonstering zijn de monsters luchtdicht verpakt om oxidatie zo veel mogelijk te voorkomen.De monsters zijn opgeslagen en getransporteerd in afgesloten monstercontainers van voldoende sterkte om beschadiging en vochtverlies te voorkomen.De monstercontainers zijn op locatie, tijdens transport en in het laboratorium opgeslagen in een omgeving waar de temperatuur tussen 8 en 12 graden C mag variëren en de luchtvochtigheid minimaal 90% bedraagt.De monstercontainers zijn tijdens transport beschermd tegen trillingen en schokken. "
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"klasseB";"Ja";"Ja";"De bemonstering is erop gericht ongestoorde monsters te verkrijgen waarbij verandering in de spanningstoestand wordt geaccepteerd. Direct na bemonstering zijn de monsters luchtdicht verpakt om oxidatie zo veel mogelijk te voorkomen. De monsters zijn opgeslagen en getransporteerd in afgesloten monstercontainers van voldoende sterkte om beschadiging en vochtverlies te voorkomen.De monstercontainers zijn beschermd tegen trillingen en schokken en extreme temperatuur. "
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"klasseC";"Ja";"Ja";"De bemonstering is erop gericht monsters te verkrijgen waarin de gelaagdheid en de interne structuur behouden blijft. Direct na bemonstering zijn de monsters luchtdicht verpakt om oxidatie zo veel mogelijk te voorkomen.De monsters zijn opgeslagen en getransporteerd in afgesloten monstercontainers van voldoende sterkte om beschadiging en vochtverlies te voorkomen."
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"klasseD";"Ja";"Ja";"De bemonstering is erop gericht monsters te verkrijgen waarin de gelaagdheid behouden blijft. Direct na bemonstering zijn de monsters luchtdicht verpakt om oxidatie zo veel mogelijk te voorkomen. De monsters kunnen in PVC of metalen monstercontainers e.d. zijn verzameld en opgeslagen. "
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"klasseE";"Ja";"Ja";"De bemonstering is erop gericht een goede indruk te krijgen van de samenstelling van de ondergrond. Er gelden geen bijzondere eisen. De monsters kunnen in monsterbakken, zakken, potten e.d. verzameld en opgeslagen zijn. "
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"deelsOngeroerd";"Nee";"Ja";"Een niet nader gespecificeerd deel van de monsters is ongeroerd. Dat houdt in dat de kwaliteit daarvan tenminste vergelijkbaar is met klasse D onder IMBRO."
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"geroerd";"Nee";"Ja";"De monsters zijn geroerd. Dat houdt in dat de kwaliteit vergelijkbaar is met klasse E onder IMBRO."
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"onbekend";"Nee";"Ja";"De bemonsteringskwaliteit is niet bekend."
"Bemonsteringskwaliteit";"urn:bro:bhrgt:SamplingQuality";"ongeroerd";"Nee";"Ja";"De monsters zijn ongeroerd. Dat houdt in dat de kwaliteit tenminste vergelijkbaar is met klasse D onder IMBRO."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"graven";"Ja";"Ja";"Manier van bemonsteren waarbij een deel van de ondergrond mechanisch of met de hand wordt weggegraven en in een graafbak of op een schep naar boven wordt gehaald. Levert normaliter monsters op met bemonsteringskwaliteit klasse E."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandDroog";"Ja";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte wordt losgeroerd, de losgemaakte grond door schroefwerking naar boven wordt gehaald of met behulp van perslucht wordt losgemaakt en naar boven gehaald en aan het oppervlak bemonsterd wordt. Een van de methoden die gebruikt worden bij boren met een avegaar.Levert normaliter monsters met bemonsteringskwaliteit klasse E."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandNat";"Ja";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte wordt losgeroerd of losgespoten, het losgemaakte materiaal naar boven wordt gespoeld en aan het oppervlak bemonsterd wordt door vloeistof en materiaal van elkaar te scheiden. De methode wordt gebruikt bij counterflushboren, bij gebruik van de geodoff, luchtliften, rotary-drilling, spuitboren, straightflushboren en mechanisch zuigboren. Levert normaliter monsters op met bemonsteringskwaliteit klasse E."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opDiepteGrijpen";"Ja";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte met een grijper wordt uitgenomen. De methode wordt gebruikt bij het grijperboren.Levert normaliter monsters op met bemonsteringskwaliteit klasse D of E. Welke klasse van toepassing is wordt mede bepaald door de cohesie en de vochtigheid van de grond. "
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opDiepteKernen";"Ja";"Ja";"Manier van bemonsteren waarbij een kolom materiaal op diepte met een speciale boorbeitel of met draaiende spuiters wordt vrijgeboord, in een container wordt opgevangen, wordt losgetrokken of losgesneden en naar boven wordt gehaald. De methode wordt gebruikt bij rotary-core drilling en bij gebruik van de Sherbrooke sampler, en kan worden toegepast bij boren met een holle avegaar.Levert normaliter monsters op met bemonsteringskwaliteit klasse A, B, C of D. Welke klasse van toepassing is wordt bepaald door het type bemonsteringsapparaat, de boortechniek, de cohesie en de vochtigheid van de grond."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opDiepteLosroeren";"Ja";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte wordt losgeroerd, in het apparaat wordt opgevangen en met het apparaat naar boven wordt gehaald. De methode wordt gebruikt bij boren met een avegaar, bucketboren, draaiend boren met de hand, pulsboren en boren met de handbediende zuigerboor.Levert normaliter monsters op met bemonsteringskwaliteit klasse E tot D. Welke klasse van toepassing is wordt bepaald door de boortechniek en de cohesie en de vochtigheid van het materiaal. "
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opDiepteUitsteken";"Ja";"Ja";"Manier van bemonsteren waarbij een kolom materiaal op diepte wordt uitgestoken, in een container wordt opgevangen, wordt losgetrokken of losgesneden en in de container naar boven wordt gehaald. De methode wordt gebruikt bij het Ackermann-apparaat, het VanderStaay-apparaat, de Aqualock, de Beeker-sampler, het Begemannapparaat, de DLDS, de folie-sampler, de geodoff, de grondkolomcilinder, de gutsboor, de monsterringsteker, de (veen)profielsteker, de ramguts, sonisch boren, de spitsmuis, de steekbuis, de trilflip, het VanderHorst-steekapparaat en vibrocoren en kan gebruikt worden bij boren met de holle avegaar.Levert monsters op met bemonsteringskwaliteit klasse A, B, C of D. Welke klasse van toepassing is wordt bepaald door het type bemonsteringsapparaat, de boortechniek, de cohesie en de vochtigheid van het materiaal."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"onbekend";"Nee";"Ja";"Het is niet bekend welke manier is toegepast."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"onbekendDeelsOpDiepteUitsteken";"Nee";"Ja";"Er zijn twee manieren van bemonsteren toegepast. Voor een deel van het interval is een kolom grond op diepte uitgestoken en in een container opgevangen (opDiepteUitsteken). Het is onbekend welke andere manier is toegepast."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandDroogDeelsOpDiepteUitsteken";"Nee";"Ja";"Er zijn twee manieren van bemonsteren toegepast. Het materiaal is op diepte losgeroerd en de losgemaakte grond is door schroefwerking naar boven gehaald (opAfstandDroog). Voor een deel van het interval is een kolom materiaal op diepte uitgestoken en in een container opgevangen (opDiepteUitsteken).Dit is bijvoorbeeld het geval bij boren met een avegaar waarbij ook monsters zijn gestoken."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandNatDeelsOpDiepteKernen";"Nee";"Ja";"Er zijn twee manieren van bemonsteren toegepast. Het materiaal is op diepte losgeroerd of losgespoten en de grond is naar boven gespoeld (opAfstandNat). Voor een deel van het interval is een kolom materiaal op diepte met een speciale boorbeitel of met draaiende spuiters vrijgeboord en in een container opgevangen (opDiepteKernen).Dit is bijvoorbeeld het geval bij straightflushboren waarbij ook is gekernd."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandNatDeelsOpDiepteUitsteken";"Nee";"Ja";"Er zijn twee manieren van bemonsteren toegepast. Het materiaal is op diepte losgeroerd of losgespoten en de grond is naar boven gespoeld (opAfstandNat). Voor een deel van het interval is een kolom materiaal op diepte uitgestoken en in een container opgevangen (opDiepteUitsteken).Dit is bijvoorbeeld het geval bij mechanisch zuigboren waarbij ook monsters zijn gestoken."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opAfstandOnbekend";"Nee";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte wordt losgeroerd of losgespoten en niet bekend is hoe de losgemaakte grond naar boven is gehaald (droog of nat)."
"Bemonsteringsmethode";"urn:bro:bhrgt:SamplingMethod";"opDiepteOnbekend";"Nee";"Ja";"Manier van bemonsteren waarbij het materiaal op diepte is losgemaakt en opgevangen en niet bekend is hoe het opgevangen materiaal naar boven is gehaald."
"Bemonsteringsprocedure";"urn:bro:bhrgt:SamplingProcedure";"ISO22475d1v2006";"Ja";"Ja";"NEN-EN-ISO 22475-1:2006 Methoden voor monsterneming en grondwatermeting - Deel 1: Technische grondslagen voor de uitvoering. Een internationale norm geaccepteerd door Nederland en Europa."
"Bemonsteringsprocedure";"urn:bro:bhrgt:SamplingProcedure";"ISO22475d1v2019";"Ja";"Ja";"NEN-EN-ISO 22475-1:2019 Methoden voor monsterneming en grondwatermeting - Deel 1: Technische grondslagen voor de uitvoering. Een internationale norm geaccepteerd door Nederland en Europa."
"Bemonsteringsprocedure";"urn:bro:bhrgt:SamplingProcedure";"NEN5119";"Nee";"Ja";"NEN 5119:1991 Geotechniek- boren en monsternemen in grond. Een Nederlandse norm. De norm is vervangen door NEN-EN-ISO 22475-1: 2006."
"Bemonsteringsprocedure";"urn:bro:bhrgt:SamplingProcedure";"onbekend";"Nee";"Ja";"Het is niet bekend onder welke afspraken het bemonsteren is uitgevoerd."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"PPzeerKlein";"Ja";"Ja";"De bepalingsdiameter van de Very Small Pocket Penetrometer of VSPP, een zakpenetrometer met zeer klein opzetstuk (3,2 mm). "
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"PPklein";"Ja";"Ja";"De bepalingsdiameter van de Small Pocket Penetrometer of SPP, een zakpenetrometer met een klein opzetstuk (4,5 mm). "
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"PPstandaard";"Ja";"Ja";"De bepalingsdiameter van de Pocket Penetrometer of PP, een zakpenetrometer zonder opzetstuk (6,3 mm)."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"PPmiddelgroot";"Ja";"Ja";"De bepalingsdiameter van de Medium Pocket Penetrometer of MPP, een zakpenetrometer met middelgroot opzetstuk (8,5 mm)."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"PPgroot";"Ja";"Ja";"De bepalingsdiameter van de Large Pocket Penetrometer of LPP, een zakpenetrometer met groot opzetstuk (25,4 mm)."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"TVklein";"Ja";"Ja";"De bepalingsdiameter van de Small Torvane of STV, een handvin met klein opzetstuk (19,0 mm)."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"TVstandaard";"Ja";"Ja";"De bepalingsdiameter van de Torvane of TV, een handvin zonder opzetstuk (25,4 mm)."
"Bepalingsdiameter";"urn:bro:bhrgt:DeterminationDiameter";"TVgroot";"Ja";"Ja";"De bepalingsdiameter van de Large Torvane of LTV een handvin met groot opzetstuk (47,8 mm). "
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"berekenenWatergehalte";"Ja";"Ja";"De hoeveelheid water in het materiaal is voorafgaand aan de bepaling door uitpersing veranderd. Het materiaal wordt alsnog gedroogd in een oven waardoor het water verdampt. Uit het massaverlies dat het gevolg is van de verdamping van het water en de hoeveelheid uitgeperst water wordt het watergehalte berekend."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"drogen";"Ja";"Ja";"Het materiaal wordt gedroogd in een oven waardoor het water verdampt. Uit het massaverlies wordt het watergehalte berekend."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"droogZeven";"Ja";"Ja";"Voor het bepalen van de verdeling van de fractie groter dan 63 µm is droge zeving gebruikt. Deze methode wordt gebruikt wanneer men ervan uitgaat dat er geen fractie kleiner dan 63 µm aanwezig is."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"getrimdVolumeMeten";"Ja";"Ja";"De volumieke massa is bepaald van een helemaal glad gemaakt proefstuk. De afmetingen ervan zijn nauwkeurig gemeten en de massa is met een balans bepaald."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"handvinDraaien";"Ja";"Ja";"De handvin wordt in het monster gedrukt en met de hand met constante snelheid gedraaid tot het materiaal bezwijkt en dat is het punt waarop de vin doorschiet. "
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natDroogZeven";"Ja";"Ja";"Het materiaal is nat gezeefd over de 63 µm-zeef. De verdeling van de korrels groter dan 63 µm is bepaald door middel van droge zeving."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natDroogZevenHydrometer";"Ja";"Ja";"Het materiaal is nat gezeefd over de 63µm-zeef. De verdeling van de korrels kleiner dan 63 µm is bepaald met een hydrometer. Wanneer de verdeling van de korrels groter dan 63 µm is bepaald is dit gebeurd door middel van droge zeving."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natDroogZevenLaser";"Ja";"Ja";"Het materiaal is nat gezeefd over de 2mm-zeef. De verdeling van de korrels kleiner dan 2 mm is bepaald door middel van laserdiffractie. De verdeling van de korrels groter dan 2 mm is bepaald door middel van droge zeving."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natDroogZevenPipet";"Ja";"Ja";"Het materiaal is nat gezeefd over de 63µm-zeef. De verdeling van de korrels kleiner dan 63 µm is bepaald door middel van pipetteren. Wanneer de verdeling van de korrels groter dan 63 µm is bepaald is dit gebeurd door middel van droge zeving."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natDroogZevenRoentgen";"Ja";"Ja";"Het materiaal is nat gezeefd over de 63 µm-zeef. De verdeling van de korrels kleiner dan 63 µm is bepaald met behulp van röntgenstraling. Wanneer de verdeling van de korrels groter dan 63 µm is bepaald is dit gebeurd door middel van droge zeving."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natOxideren";"Ja";"Ja";"De organische stof is verwijderd met H<sub>2</sub>O<sub>2</sub> (30%). Uit het massaverlies is het gehalte berekend."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"natZeven";"Ja";"Ja";"Het materiaal is nat gezeefd over de 63 µm-zeef."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"ongetrimdVolumeMeten";"Ja";"Ja";"De volumieke massa is bepaald terwijl het materiaal nog in de monstercontainer zit. Dit gebeurt in het veld. Massa en inhoud van de container zijn bekend. De afmetingen van het met materiaal gevulde deel zijn zo goed mogelijk gemeten. De massa van de container met monster is bepaald met een unster."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"oplossen";"Ja";"Ja";"De koolzure kalk is verwijderd met HCl (0,1 M). Uit het massaverlies is het gehalte berekend."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"pyknometerGas";"Ja";"Ja";"De volumieke massa van de vaste delen is bepaald met een met gas gevulde pyknometer. De massa is bepaald met een balans en het volume is berekend uit het drukverschil in de pyknometer (op basis van de wet van Boyle Gay-Lussac). "
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"pyknometerVloeistof";"Ja";"Ja";"De volumieke massa van de vaste delen is bepaald met een met vloeistof gevulde pyknometer. De massa is bepaald met een balans. Het volume is berekend uit het volumeverschil van de vloeistof in de pyknometer."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"samendrukkenStapsgewijs";"Ja";"Ja";"Voor het bepalen van de verticale vervorming van de grond is de samendrukkingsproef gebruikt, waarbij in een aantal stappen gedurende een bepaalde tijd een bepaalde drukspanning wordt uitgeoefend op het onderzochte materiaal en daarbij de rek in verticale richting wordt gemeten."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"verhitten500";"Ja";"Ja";"Het materiaal wordt verhit tot 500°C, waardoor de organische stof verbrandt. Uit het massaverlies wordt het gehalte berekend. "
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"verhitten900";"Ja";"Ja";"Het materiaal wordt verhit van 500 tot 900 °C waardoor de koolzure kalk wordt omgezet in calciumoxide. Uit het massaverlies is het gehalte berekend."
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"volumeVoorbepaald";"Ja";"Ja";"De volumieke massa is bepaald van het materiaal dat met een ring uit een monster is gestoken en dat vervolgens geheel pas is gemaakt. Massa en inhoud van de steekring zijn heel nauwkeurig bekend. De massa van de volle steekring is met een balans bepaald. "
"Bepalingsmethode";"urn:bro:bhrgt:DeterminationMethod";"zakpenetrometerDrukken";"Ja";"Ja";"De zakpenetrometer wordt met de hand met gelijkmatige krachttoename 5 mm in het materiaal gedrukt. Uit de drukkracht wordt de schuifspanning berekend."
"BepalingsmethodeEquivalenteMassa";"urn:bro:bhrgt:EquivalentMassDeterminationMethod";"massaAangenomen";"Ja";"Ja";"De volumieke massa van de fijne fractie die wordt gebruikt als rekenfactor voor de bepaling van de bezinksnelheid van de korrels in water, is gebaseerd op een aanname."
"BepalingsmethodeEquivalenteMassa";"urn:bro:bhrgt:EquivalentMassDeterminationMethod";"massaAfgeleid";"Ja";"Ja";"De volumieke massa van de fijne fractie die wordt gebruikt als rekenfactor voor de bepaling van de bezinksnelheid van de korrels in water, is afgeleid uit een meting van de volumieke massa van de vaste delen van het materiaal."
"BepalingsmethodeEquivalenteMassa";"urn:bro:bhrgt:EquivalentMassDeterminationMethod";"massaBepaald";"Ja";"Ja";"De volumieke massa van de fijne fractie die wordt gebruikt als rekenfactor voor de bepaling van de bezinksnelheid van de korrels in water, is gemeten."
"Bepalingsprocedure";"urn:bro:bhrgt:DeterminationProcedure";"ISO13317d3v2016";"Ja";"Ja";"NEN-EN-ISO 17892-3:2016 <i>Geotechnisch onderzoek en beproeving - Beproeving van grond in het laboratorium - Deel 3: Bepaling van de dichtheid van gronddeeltjes</i> beschrijft de procedure voor het bepalen van volumieke massa van de vaste delen met de gas- en vloeistofpyknometer.Een internationale norm geaccepteerd door Europa en Nederland."
